propensao,nome,cnpj,porte,bairro,idade_anos,unidades,capital_social,telefone,arquetipo,capacidade,fit_ticket
0.6860,SMART ODONTOLOGIA AVANCADA,11.545.425/0001-00,DEMAIS,ASA SUL,16,1,3000.0,(61) 32244744,clinica_geral,0.54,0.35
0.6860,MARCELO NEGREIROS REABILITACAO ORAL,10.948.985/0001-35,DEMAIS,ASA SUL,17,1,3000.0,(61) 34364162,marca_pessoal,0.54,0.35
0.6860,QUALITY ODONTOLOGIA,11.780.198/0001-90,DEMAIS,ASA SUL,16,1,1200.0,(61) 33453216,clinica_geral,0.54,0.35
0.6845,ICONE - INSTITUTO CRESCER DE ODONTOLOGIA ESPECIALIZADA,20.548.138/0001-37,DEMAIS,TAGUATINGA SUL (TAGUATINGA),12,1,40000.0,(61) 30263016,clinica_institucional,0.58,0.6
0.6845,KHROMO ODONTOLOGIA,15.186.870/0001-74,DEMAIS,GAMA,14,1,40000.0,(61) 91348244,clinica_institucional,0.58,0.6
0.6845,I O R A ODONTOLOGIA ESPECIALIZADA,18.719.936/0001-32,DEMAIS,NUCLEO BANDEIRANTE,13,1,20000.0,(61) 94617414,clinica_institucional,0.58,0.6
0.6845,SIMETRIA ODONTOLOGIA E ESTETICA LTDA,27.510.922/0001-03,ME, (AGUAS CLARAS),9,1,30000.0,(61) 81110950,especialista_alto_ticket,0.38,1.0
0.6845,INSTITUTO DBF.,34.361.464/0001-45,ME,ASA SUL,7,1,10000.0,(61) 81011441,especialista_alto_ticket,0.38,1.0
0.6845,GABRIELA SA ODONTOLOGIA REABILITADORA E ESTETICA,37.408.732/0001-25,ME,ASA NORTE,6,1,10000.0,(61) 98583518,marca_pessoal,0.38,1.0
0.6845,IMPLANTAR ODONTOLOGIA MODERNA,39.572.187/0001-33,ME,ASA SUL,5,1,5000.0,(61) 83029191,especialista_alto_ticket,0.38,1.0
0.6840,CLINICA ODONTOLOGICA ORTO PLENA,10.678.970/0001-02,ME,ASA NORTE,17,1,60000.0,(61) 33223496,clinica_geral,0.41,0.6
0.6840,RODRIGO ABUD ODONTOLOGIA ESPECIALIZADA,12.251.378/0001-47,ME,ASA NORTE,16,1,1000.0,(61) 99749497,marca_pessoal,0.41,0.6
0.6835,CLINICA ORTHORIO,16.979.115/0001-00,ME,CEILANDIA,14,1,80000.0,(61) 41417926,especialista_alto_ticket,0.49,1.0
0.6835,IMORE IMPLANTES,15.218.813/0001-20,ME,RECANTO DAS EMAS,14,1,60000.0,(61) 30451311,especialista_alto_ticket,0.49,1.0
0.6830,CENTRO ODONTOLOGICO CELSO SILVA SS LTDA,04.371.364/0001-39,DEMAIS,ASA SUL,25,1,10000.0,(61) 32252822,clinica_institucional,0.52,0.6
0.6825,ODONTOCOMPANY,41.195.922/0001-89,EPP,NORTE (AGUAS CLARAS),5,1,300000.0,(61) 92799307,clinica_geral,0.7,0.35
