code	datetime	media_type	product_type	like_count	comment_count	plays	carousel_n	likes_hidden	usertags	has_location
DZanGuxpYbv	2026-06-10T18:45	2	clips	29	7	1153	0	0	3	1
DZZH5Chv0TH	2026-06-10T04:50	2	clips	3	0	1095	0	1	0	0
DZF0TX6SMcU	2026-06-02T16:56	2	clips	3	2	1391	0	1	0	0
DZE50maPwcz	2026-06-02T08:23	2	clips	3	10	2562	0	1	6	0
DZEdoqcPAvo	2026-06-02T04:16	1	feed	3	1	0	0	1	0	0
DZDTg-vPe89	2026-06-01T17:31	2	clips	3	9	3785	0	1	9	1
DZB-sd6PL9Q	2026-06-01T05:12	1	feed	3	0	0	0	1	1	1
DZB6Xmgv3oO	2026-06-01T04:29	2	clips	3	0	1631	0	1	0	0
DZBokw4vwCv	2026-06-01T01:59	2	clips	3	2	2399	0	1	0	1
DY7btygvdBZ	2026-05-29T16:08	2	clips	3	1	1850	0	1	2	1
DY7YectFcgz	2026-05-29T15:37	8	carousel_container	3	3	0	2	1	7	1
DY437yExjm0	2026-05-28T16:15	2	clips	3	6	3050	0	1	1	1
DY4iHkxv5wQ	2026-05-28T13:04	2	clips	3	1	1602	0	1	0	1
DY3m5L0vcl4	2026-05-28T04:34	1	feed	3	6	0	0	1	0	1
DY3c6NiP15W	2026-05-28T03:00	2	clips	3	2	1689	0	1	0	1
DY0t3-lPtK6	2026-05-27T01:30	1	feed	3	1	0	0	1	1	1
DYv1hnZvndP	2026-05-25T04:02	2	clips	3	1	2027	0	1	1	0
