cnpj_basico,n_socios,n_administradores,socio_mais_antigo
32263784,1,0,2018-11-28
59958897,1,0,2025-03-18
48694401,1,0,2022-11-22
63792165,1,0,2025-11-24
44945270,2,1,2022-01-20
06244125,2,1,2004-02-15
23639698,2,2,2015-09-03
47876005,2,1,2022-09-08
61867058,1,0,2025-07-22
28831757,1,0,2017-09-15
11295186,2,1,2009-10-27
22405011,2,1,2015-04-24
62699104,1,0,2025-09-12
45880685,1,0,2022-04-01
28725280,1,0,2017-09-15
23538982,1,0,2015-10-16
33530513,1,0,2018-11-05
54196611,1,0,2024-03-05
40479790,1,0,2021-01-20
55086644,1,0,2024-05-10
44968435,1,0,2022-01-21
35658726,1,0,2019-11-14
63123610,1,0,2025-10-09
54812977,1,0,2024-04-19
59003957,1,0,2025-01-21
08957588,4,3,2007-05-30
08008370,3,2,2010-05-27
07829134,2,1,2006-01-26
61558691,1,0,2025-07-02
34517494,1,0,2019-07-24
31188361,1,0,2021-09-28
28150513,1,0,2017-06-21
47759922,1,0,2022-08-29
04549858,1,0,2001-04-24
34680895,1,0,2019-07-24
52891370,1,0,2023-11-14
49997306,1,0,2023-03-20
13369279,1,0,2011-02-02
62298883,1,0,2025-08-19
30256350,1,0,2018-04-10
56936315,1,0,2024-08-20
41145019,3,1,2021-03-09
38489163,1,0,2020-09-16
39406357,1,0,2020-10-13
38060353,1,0,2020-08-12
57778818,1,0,2024-10-21
49633501,1,0,2023-02-16
59213284,10,1,2025-01-31
50313136,2,2,2023-04-13
24825299,1,0,2016-05-06
04050354,17,1,2000-02-10
51015872,1,0,2023-06-12
05678638,5,2,2003-05-14
43388213,1,0,2021-09-02
57370739,1,0,2024-09-20
40178310,1,0,2020-12-22
59717889,1,0,2025-02-28
59972412,1,0,2025-03-19
38315823,1,0,2021-09-27
51706155,1,1,2023-08-07
21793072,1,0,2015-01-15
05156020,2,2,2002-07-16
52976749,1,0,2023-11-23
06311608,1,0,2004-04-22
34032955,1,0,2019-06-24
60916610,1,0,2025-05-20
60067970,1,0,2025-03-25
22476260,1,0,2015-04-24
47406182,1,0,2022-08-03
31104465,1,0,2018-07-25
60488386,1,0,2025-04-22
62991582,1,0,2025-10-01
63991155,1,0,2025-12-09
54592609,1,0,2024-04-04
38182537,1,0,2020-08-21
44230994,1,0,2021-11-12
01372837,1,0,1999-07-07
51039828,1,0,2023-06-14
57036475,2,2,2024-08-27
51016672,1,0,2023-06-12
52531388,2,2,2023-10-16
46777166,1,0,2022-06-14
50644633,1,0,2023-05-11
01060583,2,1,1995-12-01
54952872,1,0,2024-04-30
25115962,1,0,2016-06-27
38729006,1,0,2020-09-23
54422758,1,0,2024-03-21
55210928,1,0,2024-05-21
34992525,1,0,2019-09-23
58340139,2,2,2024-12-04
18537683,1,1,2024-11-14
53800691,1,0,2024-02-05
26549368,1,0,2016-10-28
56073560,1,0,2024-07-24
47424136,1,0,2022-08-04
60437713,1,0,2025-04-16
21176931,1,0,2014-08-21
48311341,1,0,2022-10-17
49403592,1,0,2023-01-31
28161316,1,0,2017-07-04
41574414,1,0,2021-04-14
37088367,1,0,2020-02-14
07660568,2,2,2005-09-30
20289655,3,1,2014-03-07
28939725,1,0,2017-10-26
54342754,1,0,2024-03-15
62837890,1,0,2025-09-22
47298262,3,3,2022-07-26
38085698,1,0,2020-08-13
44967952,1,0,2022-01-21
52114775,1,0,2023-09-08
61994096,1,0,2025-07-30
35819714,1,0,2019-12-18
60808965,1,0,2025-05-13
24671972,2,2,2016-04-06
36394635,1,0,2016-03-15
17862752,1,0,2014-07-24
59590464,1,0,2025-02-21
62446706,2,1,2025-08-28
60173835,1,0,2025-03-31
14852914,2,1,2011-10-17
46518116,1,0,2022-05-24
59193385,1,0,2025-01-30
27903175,1,0,2017-05-17
59982915,1,0,2025-03-19
35557992,1,0,2019-11-13
32263885,2,2,2018-12-11
25070492,1,0,2016-04-29
40088503,1,0,2020-12-11
56904596,1,0,2024-08-19
54759739,1,0,2024-04-16
32263825,2,1,2018-06-15
46074210,1,0,2022-04-19
31226845,1,0,2018-08-08
39316743,1,0,2020-10-05
41644061,1,0,2021-04-20
42671641,1,0,2021-07-12
09039072,4,2,2007-08-20
38182201,2,2,2020-08-21
60143735,1,0,2025-03-28
12295632,4,2,2009-07-07
02853210,4,2,1998-11-20
50798949,1,0,2023-05-24
40903307,1,0,2021-02-18
10482203,1,0,2008-07-25
33713763,1,0,2019-05-22
57925792,1,0,2024-10-31
35360699,1,0,2019-10-30
34345102,1,0,2019-07-10
58012803,1,0,2024-11-07
14787217,2,2,2011-12-01
62959166,1,0,2025-09-30
33956634,2,2,2019-06-12
47077077,1,0,2022-07-08
31743943,1,0,2018-10-03
